Time,IP Address,Event
18:03:13,192.168.1.2,Normal Packet
18:03:14,192.168.1.10,Normal Packet
18:03:14,148.113.20.2,Normal Packet
18:03:17,192.168.1.2,Normal Packet
18:03:19,192.168.1.10,Normal Packet
18:03:19,192.168.1.1,Normal Packet
18:03:19,204.79.197.222,Normal Packet
18:03:19,192.168.1.10,Normal Packet
18:03:19,192.168.1.1,Normal Packet
18:03:20,192.168.1.10,Normal Packet
18:03:38,192.168.1.10,Normal Packet
18:03:38,192.168.1.1,Normal Packet
18:03:38,192.168.1.10,Normal Packet
18:03:38,23.108.55.80,Normal Packet
18:03:38,23.108.55.80,Normal Packet
18:03:38,192.168.1.10,Normal Packet
18:03:38,192.168.1.10,Normal Packet
18:03:38,148.113.20.2,Normal Packet
18:03:38,192.168.1.10,Normal Packet
18:03:38,148.113.20.2,Normal Packet
18:03:38,192.168.1.10,Normal Packet
18:03:38,192.168.1.10,Normal Packet
18:03:38,192.168.1.10,Suspicious Activity
18:03:39,52.168.117.170,Normal Packet
18:03:39,52.168.117.170,Normal Packet
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.1,Normal Packet
18:03:39,192.168.1.2,Normal Packet
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.1,Normal Packet
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.1,Normal Packet
18:03:39,192.168.1.10,Normal Packet
18:03:39,192.168.1.10,Suspicious Activity
18:03:39,192.168.1.10,Normal Packet
